"name","calories","vitamins"
"Apple_Cinnamon_Cheerios",110,25
"Apple_Jacks",110,25
"Cap'n'Crunch",120,25
"Cocoa_Puffs",110,25
"Corn_Pops",110,25
"Count_Chocula",110,25
"Crispy_Wheat_&_Raisins",100,25
"Froot_Loops",110,25
"Frosted_Flakes",110,25
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",120,25
"Fruitful_Bran",120,25
"Fruity_Pebbles",110,25
"Golden_Crisp",100,25
"Honey_Graham_Ohs",120,25
"Honey_Nut_Cheerios",110,25
"Honey-comb",110,25
"Lucky_Charms",110,25
"Muesli_Raisins,_Dates,_&_Almonds",150,25
"Muesli_Raisins,_Peaches,_&_Pecans",150,25
"Mueslix_Crispy_Blend",160,25
"Oatmeal_Raisin_Crisp",130,25
"Post_Nat._Raisin_Bran",120,25
"Raisin_Bran",120,25
"Smacks",110,25
"Total_Raisin_Bran",140,100
"Trix",110,25
