county,area_in_square_km,density,females,males,no_of_households,total_population
BARINGO,11015.34,50.44,276480,279081,110649,555561
BOMET,2471.3,293.04,364459,359727,142361,724186
BUNGOMA,3592.76,453.95,835339,795595,321628,1630934
BUSIA,1134.42,430.24,256000,232075,103421,488075
ELGEYO MARAKWET,3029.78,122.12,186260,183738,77555,369998
EMBU,2818.04,183.18,261909,254303,131683,516212
GARISSA,44175.02,14.1,288121,334939,98590,623060
HOMA BAY,3183.29,302.76663452,501340,462454,206255,963794
ISIOLO,25336.07,5.66,69600,73694,31326,143294
KAJIADO,21900.97,31.38,342166,345146,173464,687312
KAKAMEGA,3051.23,544.26,859662,800989,355679,1660651
KERICHO,2478.99,305.91,376359,381980,160134,758339
KIAMBU,2543.42,638.23,820673,802609,469244,1623282
KILIFI,12609.74,88.01,574209,535526,199764,1109735
KIRINYAGA,1479.09,357.01,267424,260630,154220,528054
KISII,1317.53,874.58,601818,550464,245029,1152282
KISUMU,2085.93,464.5,494149,474760,226719,968909
KITUI,30496.51,33.21,531427,481282,205491,1012709
KWALE,8270.15,78.59,333934,315997,122047,649931
LAIKIPIA,9461.92,42.19,200602,198625,103114,399227
LAMU,6273.12,16.19,48494,53045,22184,101539
MACHAKOS,6208.24,176.96,555445,543139,264500,1098584
MAKUENI,8008.75,110.45,453817,430710,186478,884527
MANDERA,25991.47,39.47,465813,559943,125497,1025756
MARSABIT,70961.19,4.1,140054,151112,56941,291166
MERU,6936.24,195.54,685645,670656,319616,1356301
MIGORI,2596.44,353.241361248,472814,444356,180211,917170
MOMBASA,218.86,4292.09,452446,486924,268700,939370
MURANGA,2558.82,368.37,484717,457864,255696,942581
NAIROBI,695.1,4514.96,1533139,1605230,985016,3138369
NAKURU,7495.07,213.92,798743,804582,409836,1603325
NANDI,2884.18,261.07,376477,376488,154073,752965
NAROK,17933.05,47.45,421894,429026,169220,850920
NYAMIRA,899.33,665.22,311204,287048,131039,598252
NYANDARUA,3245.25,183.74,304113,292155,143879,596268
NYERI,3337.09,207.83,353833,339725,201703,693558
SAMBURU,21022.15,10.65,111940,112007,47354,223947
SIAYA,2530.38,332.88,443652,398652,199034,842304
TAITA TAVETA,17084.04,16.66,139323,145334,71090,284657
TANA RIVER,38436.91,6.25,120222,119853,47414,240075
THARAKA,2638.83,138.44,186879,178451,88803,365330
TRANS-NZOIA,2495.53,328.09,411585,407172,170117,818757
TURKANA,68680.29,12.45,410330,445069,123191,855399
UASIN GISHU,3345.21,267.3,445185,448994,202291,894179
VIHIGA,530.9,1044.68,291906,262716,123347,554622
WAJIR,56685.83,11.68,298175,363766,88574,661941
WEST POKOT,9169.41,55.91,257863,254827,93777,512690
